Title,Note,URL,Tags,Comment
ONIGIRI CAFE NGON（おにぎり カフェ）,,https://www.google.com/maps/place/ONIGIRI+CAFE+NGON%EF%BC%88%E3%81%8A%E3%81%AB%E3%81%8E%E3%82%8A+%E3%82%AB%E3%83%95%E3%82%A7%EF%BC%89/data=!4m2!3m1!1s0x3142178500ae1a67:0xfe49528895770695,,
taran.Hoian,,https://www.google.com/maps/place/taran.Hoian/data=!4m2!3m1!1s0x31420f62e68ede3d:0xc1a22b37fd892319,,
"Ốp la Đông - Fried Egg, Beef Stew, Bun for breakfast",,"https://www.google.com/maps/place/%E1%BB%90p+la+%C4%90%C3%B4ng+-+Fried+Egg,+Beef+Stew,+Bun+for+breakfast/data=!4m2!3m1!1s0x31420e794ebab863:0x2196f50290f55fbe",,
Attrangs Store,,https://www.google.com/maps/place/Attrangs+Store/data=!4m2!3m1!1s0x314219005bd41547:0xf3c4494d39c9de32,,
Reaching Out Arts & Crafts,,https://www.google.com/maps/place/Reaching+Out+Arts+%26+Crafts/data=!4m2!3m1!1s0x31420e7e6357bce5:0x207a0901ec282f00,,
Sunday in Hoi An,,https://www.google.com/maps/place/Sunday+in+Hoi+An/data=!4m2!3m1!1s0x3142183240c3d5f1:0x2d84b29633dbb717,,
Bee gốm Nhật- Japanese Ceramic,,https://www.google.com/maps/place/Bee+g%E1%BB%91m+Nh%E1%BA%ADt-+Japanese+Ceramic/data=!4m2!3m1!1s0x31420d000a6a5069:0x27899ed1047620d,,
nắngceramics,,https://www.google.com/maps/place/n%E1%BA%AFngceramics/data=!4m2!3m1!1s0x31420f006a8ba065:0xac6249a4cd400c55,,
Cơ sở sản xuất gốm Lê Văn Nhật,,https://www.google.com/maps/place/C%C6%A1+s%E1%BB%9F+s%E1%BA%A3n+xu%E1%BA%A5t+g%E1%BB%91m+L%C3%AA+V%C4%83n+Nh%E1%BA%ADt/data=!4m2!3m1!1s0x31420f7925cbd48b:0x4446d72c141156da,,
Heal Terra - Healing Terrarium,,https://www.google.com/maps/place/Heal+Terra+-+Healing+Terrarium/data=!4m2!3m1!1s0x31421b1f73c03c8d:0x5d87b47117c8bae6,,
Green Tree shop Danang Office,,https://www.google.com/maps/place/Green+Tree+shop+Danang+Office/data=!4m2!3m1!1s0x314219f1b084c2b1:0x56e98df7667e68cd,,
Metal Terra - Terrarium Việt Nam,,https://www.google.com/maps/place/Metal+Terra+-+Terrarium+Vi%E1%BB%87t+Nam/data=!4m2!3m1!1s0x3142179a3e373e4f:0x26940fcfe344c8d2,,
Kem dừa Cô Ba,,https://www.google.com/maps/place/Kem+d%E1%BB%ABa+C%C3%B4+Ba/data=!4m2!3m1!1s0x31421971e0628505:0x64ec094968636087,,
TIB SUPPLY NAILS & EYELASH （네일 액세서리）,,https://www.google.com/maps/place/TIB+SUPPLY+NAILS+%26+EYELASH+%EF%BC%88%EB%84%A4%EC%9D%BC+%EC%95%A1%EC%84%B8%EC%84%9C%EB%A6%AC%EF%BC%89/data=!4m2!3m1!1s0x3142190b9cfa61d5:0x360bb7a31835cd7,,
DNB Nail Supply DaNang,,https://www.google.com/maps/place/DNB+Nail+Supply+DaNang/data=!4m2!3m1!1s0x314219fa74894551:0x898ae1f8bfe0f9d,,
Havana Lê Duẩn,,https://www.google.com/maps/place/Havana+L%C3%AA+Du%E1%BA%A9n/data=!4m2!3m1!1s0x3142190072e87e45:0xd10e414f8e0f0da3,,
Tabalo Outdoor & Camping,,https://www.google.com/maps/place/Tabalo+Outdoor+%26+Camping/data=!4m2!3m1!1s0x314219362a81485f:0xd26dca78ea091780,,
Loc Ngo photography,,https://www.google.com/maps/place/Loc+Ngo+photography/data=!4m2!3m1!1s0x314218393207c29d:0xf091a5e9ff568b2f,,
Sun Thi Makeup & Cosmetics,,https://www.google.com/maps/place/Sun+Thi+Makeup+%26+Cosmetics/data=!4m2!3m1!1s0x3142174f94e58009:0xeeb1df8811429ecf,,
Tropical coffee,,https://www.google.com/maps/place/Tropical+coffee/data=!4m2!3m1!1s0x31420f007e17d28b:0xf3a332999ab73b51,,
Fika Cafe - Western breakfast brunch cakes and books,,https://www.google.com/maps/place/Fika+Cafe+-+Western+breakfast+brunch+cakes+and+books/data=!4m2!3m1!1s0x31420f837b9fcd6b:0x5b5b48894172ff77,,
Tu Tam Book Café,,https://www.google.com/maps/place/Tu+Tam+Book+Caf%C3%A9/data=!4m2!3m1!1s0x31420f223c1d702f:0xd6f1c1b834548fab,,
Avocado Bookstore,,https://www.google.com/maps/place/Avocado+Bookstore/data=!4m2!3m1!1s0x31420f81ddf7f1df:0x550271cbc57538e2,,
Milan Linen Clothings & Custom Tailoring,,https://www.google.com/maps/place/Milan+Linen+Clothings+%26+Custom+Tailoring/data=!4m2!3m1!1s0x31420f88899a7d83:0x21390dd18a2ff567,,
