Title,Note,URL,Tags,Comment
Phở Việt,Solid pho - very touristy tho,https://www.google.com/maps/place/Ph%E1%BB%9F+Vi%E1%BB%87t/data=!4m2!3m1!1s0x310a7e403d4f1557:0xe0341b2709a55d93,,
Hủ tiếu Liên - Hủ tiếu Trại hòm,Solid Hu tieu place recommended by grandpa,https://www.google.com/maps/place/H%E1%BB%A7+ti%E1%BA%BFu+Li%C3%AAn+-+H%E1%BB%A7+ti%E1%BA%BFu+Tr%E1%BA%A1i+h%C3%B2m/data=!4m2!3m1!1s0x310a7f709cd182a9:0xf566c07abfc9a7af,,
Phở Lê Hoàng,Great pho,https://www.google.com/maps/place/Ph%E1%BB%9F+L%C3%AA+Ho%C3%A0ng/data=!4m2!3m1!1s0x310a7fb998424a9d:0x3701e2ecab8aaf7b,,
Quán cơm tấm Thu Hà (Sa đéc),Good com tam,https://www.google.com/maps/place/Qu%C3%A1n+c%C6%A1m+t%E1%BA%A5m+Thu+H%C3%A0+(Sa+%C4%91%C3%A9c)/data=!4m2!3m1!1s0x310a7e16241ae175:0x53ecb004caa32e0a,,
Hủ Tiếu Nam Vang Mỹ Ngọc,Solid Hu tieu - lots of topping - very touristy ,https://www.google.com/maps/place/H%E1%BB%A7+Ti%E1%BA%BFu+Nam+Vang+M%E1%BB%B9+Ng%E1%BB%8Dc/data=!4m2!3m1!1s0x310a7e3d901a493f:0x419d3fd969020df2,,
Minh Ky,Best wonton noodle soup - Chinese style noodle dishes - very slow service in peak morning hours,https://www.google.com/maps/place/Minh+Ky/data=!4m2!3m1!1s0x310a7e143ff665dd:0x6bead56aa101ad30,,
Ba Sam Rice Noodles,Super cheap hu tieu noodles - mileage varies with equally thin meat ,https://www.google.com/maps/place/Ba+Sam+Rice+Noodles/data=!4m2!3m1!1s0x310a7e169a4e95bd:0x31b0b4416c825124,,
Chè Mè Đen,,https://www.google.com/maps/place/Ch%C3%A8+M%C3%A8+%C4%90en/data=!4m2!3m1!1s0x310a7e1405307a51:0x90ffd8cab43d16a1,,
Hung Thien Pagoda,,https://www.google.com/maps/place/Hung+Thien+Pagoda/data=!4m2!3m1!1s0x310a7cd367d43359:0x56595d816a06c463,,
Bodega Saigon,Grocery store club 😌,https://www.google.com/maps/place/Bodega+Saigon/data=!4m2!3m1!1s0x31752f75fbbdb273:0xda224d018da5f738,,
"TAKISADA VIETNAM CO.,LTD",Japanese fabric,"https://www.google.com/maps/place/TAKISADA+VIETNAM+CO.,LTD/data=!4m2!3m1!1s0x31752f46176f8807:0x6fa4b7cfb7b84960",,
Lalin Áo dài,Love their Ao Dai selection - also unique cuts of dresses - Viet fusion style,https://www.google.com/maps/place/Lalin+%C3%81o+d%C3%A0i/data=!4m2!3m1!1s0x31752f000dca57bb:0xb799a35df8e96f76,,
HACCHIC COUTURE HCM,Couture fashion - on the high end price - their dresses are stunning,https://www.google.com/maps/place/HACCHIC+COUTURE+HCM/data=!4m2!3m1!1s0x31752f3da81e99d5:0xca99f0f3afac36da,,
Takashimaya Ho Chi Minh City,Cle de Peau + other Japanese fashion + dessert stops. I really enjoy this mall 😅,https://www.google.com/maps/place/Takashimaya+Ho+Chi+Minh+City/data=!4m2!3m1!1s0x31752f47447a18f1:0x7b8b9c9d36ed9d64,,
Sociolla Nguyễn Huệ (TP HCM),Good Asian beauty selection,https://www.google.com/maps/place/Sociolla+Nguy%E1%BB%85n+Hu%E1%BB%87+(TP+HCM)/data=!4m2!3m1!1s0x31752f591212290f:0xaf32903711d1996,,
ĐING ĐANG SÀI GÒN,Great selection of Ao Dai and dresses - combines Viet traditional aesthetic well,https://www.google.com/maps/place/%C4%90ING+%C4%90ANG+S%C3%80I+G%C3%92N/data=!4m2!3m1!1s0x317529003432d4ed:0x9f7a5a1ea7b6a7f2,,
Hà Cúc Sài Gòn,Great selection of Ao Dai (bridal included) - styles more traditional,https://www.google.com/maps/place/H%C3%A0+C%C3%BAc+S%C3%A0i+G%C3%B2n/data=!4m2!3m1!1s0x31752f65a61290b1:0xcbafdfb33d246dfe,,
